HSE Actions Item Tracker,,,,,,,,,,,,,
Sr. #,Date,Month,Auditor Name,Action Drived From,Audit Description,Area/Clauses,Actions / Recommendation,Severity,Responsible Department,Responsible Manager,Target date,Action Item Status,
544,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Factories Act ,2015 Section 51 - Chapter III, Notice of certain accidents",CBL needs to inform certain accidents to relevant authorities.,High,ADM IR & HR,Shahid Bashir,To be Decided,Pending,To be discussed with Ajmal sb.
545,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Building Code of Pakistan - Fire Safety Provisions 2016 CHAPTER 6 - General Safety Requirement , Sec 6.4 Building Evacuation","CBL needs to carried out fire doors, fire windows as well as other fire safety equipment’s maintanance regularly",High,HSE,Naveed Taqvi,15.10.2025,Done,Junaid Sb to comment
546,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Building Code of Pakistan - Seismic Provisions 2007, Scope and Domain, Geotechnical Assessment",CBL needs to carry out geotechnical assessment.,High,ESD,Adeel Siddiqui  ,To be Decided,Done,Geotechnical assessment done in 2015 for Line-11 and Cake plant. Report is available.
547,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Building Code of Pakistan - Seismic Provisions 2007, Clause 2.4, Site Specific Hazard Analysis",CBL needs to carry out site-specific hazard analysis.,High,HSE,Naveed Taqvi,To be Decided,Done,To be verified via SGS report.
548,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Building Code of Pakistan - Seismic Provisions 2007, Clause 3.2, Site Considerations",CBL needs to carry out fault rupture hazard assessment.,High,HSE,Naveed Taqvi,To be Decided,Done,Junaid Sb to comment
549,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Provincial Motor Vehicles Ordinance 1965, Chapter III, Registration of motor vehicles section 39, Certificates of fitness of transport vehicle","CBL needs to obtain certificate of fitness of Toyota Hiace (School Van) from relevant 
department. 
",High,ADM IR & HR,Shahid Bashir,To be Decided,Pending,Col Sb. to comment
550,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Companies’ Profits (Workers' Participation) Act, 1968, Section-3 ,Establishment of Fund",CBL needs to establish companies profit fund.,High,ADM IR & HR,Shahid Bashir,To be Decided,Pending,To check with Zulqarnain
551,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Differently Able Persons (Employment, Rehabilitation and Welfare) Act, 2014 Section-8, Establishment to employ differently able persons",CBL needs to hire differently able persons as per quoted ration in the act.,High,ADM IR & HR,Shahid Bashir,To be Decided,Done,Col Sb. & Zahid sb to comment
552,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Workers Welfare Fund Act, 2014 - Section 4, Constitution of Workers’ Welfare Fund",Workers Welfare fund policy is not found. CBL ensure to follow this act.,High,ADM IR & HR,Shahid Bashir,To be Decided,Pending,To check with Zulqarnain
553,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Workers Welfare Fund Act, 2014 - Section 5, Mode of payment by and recovery from industrial establishment",CBL needs to establish worker welfare fund & policy.,High,ADM IR & HR,Shahid Bashir,To be Decided,Pending,To check with Zulqarnain
554,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Hazardous Substances Rules, 2014 Rule 4, Application for licence",CBL needs to develop HSMP and submitted to EPA Sindh for NOC.,High,HSE,Naveed Taqvi,To be Decided,Done,NoC for HSMP received.
555,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Hazardous Substances Rules, 2014 Rule 17, Safety plan",CBL needs to develop HSMP shall be prepared and submitted to EPA Sindh for NOC.,High,HSE,Naveed Taqvi,To be Decided,Done,NoC for HSMP received.
556,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Hazardous Substances Rules, 2014, Rule 19, Waste Management Plan",CBL needs to develop HSEMP shall be prepared and submitted to EPA sindh for NOC.,High,HSE,Naveed Taqvi,To be Decided,Done,NoC for EMP received.
557,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Prohibition of Non-degradable Plastic Products (Manufacturing, Sale and Usage) Rules 2014, Section 5, Identification",CBL needs to use Oxo-degradable bags for packaging purpose.,High,PRD,Hammad Ali Khan,To be Decided,Pending,Not applicable on Family pack skin plastic
558,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Petroleum Act, 1934, Form L Article 5, of Schedule 1",CBL needs to obtain Diesel storage NOC from Explosive department.,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,To be discussed with Col. Sb
559,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Sindh Occupational Safety and Health Rules 2019, Section 8 Safety & Health (Section 10) (B) ,Illumination, Ventilation, Temperature, Noise, Dust, Fume and Artificial Humidification",CBL needs to ensure sufficient lighting in all areas of plant.,High,HSE,Naveed Taqvi,To be Decided,WIP,Junaid Sb to comment
560,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Sindh Occupational Safety and Health Rules 2019, Section 8 Safety & Health (Section 10) (F) Guarding And Fencing of The Machinery And Work At Or Near Machinery In Motion",CBL needs to install complete fencing around moving parts of machinery.,High,HSE,Naveed Taqvi,To be Decided,WIP,Machine guarding project budget OPEX in 2026
561,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,Sindh Occupational Safety and Health Rules 2019 Section 8 Safety & Health (Section 10) (J) Precaution In Case of Fire,"CBL needs to carry out fire doors, fire windows as well as other fire safety equipment’s maintenance regularly.",High,HSE,Naveed Taqvi,To be Decided,Done,Junaid Sb to comment
562,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Sindh Occupational Safety and Health Rules 2019 Section 8 Safety & Health (Section 10) (N) Cranes, Hoist, Lifts and Other Lifting Operation",CBL needs to carry out lifting gears 3rd party inspection regularly.,High,HSE,Naveed Taqvi,To be Decided,Done,Overhead cranes inspections budgeted for OPEx 2026
563,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sind Fisheries Ordinance, 1980, Section 8, Prohibition of waste and wastewater discharge",CBL needs to check ETP capability & made treated water harmless for aquatic life.,High,HSE,Naveed Taqvi,To be Decided,WIP,Rehabilitation project to be added in CAPEX 2026
564,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Pakistan Standard Specification for Biscuit PS:383 2023, Section 3.3, Water as per WHO",CBL needs to conduct potable water analysis as per WHO guidelines for drinking water quality.,High,QC/NPD/FS,Asad Muhammad Abbasi,To be Decided,Done,
565,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Sindh Minimum Wages Act 2015 Section - 9(1), Prohibition to pay wages at a rate below the minimum rate of wages",CBL needs to follow minimum wages rates notified by Government of Sindh.,High,ADM IR & HR,Shahid Bashir,To be Decided,Done,Check with zulqarnain
566,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"Mineral & Industrial Gases Safety Rules, 2010 Section 43 ,Periodic testing of pressure vessels in service",CBL needs to conduct periodic testing of pressure vessels and obtain NOC.,High,ESD,Adeel Siddiqui  ,30.11.2025,Pending,Junaid Sb to comment
567,21-Feb-26,Feb,Mubashir Mustafa,Fire Analysis,Fire Analysis Action Plan,Repair & Maintenance,ESD team implemented SAP-based repair & maintenance plan (completed). Regular Sunday maintenance ongoing. Corrective and preventive actions embedded in SAP.,High,ESD,Adeel Siddiqui  ,10-Mar,Done,
568,21-Feb-26,Feb,Mubashir Mustafa,Fire Analysis,Fire Analysis Action Plan,Short Circuiting,"To overcome short circuiting, HSE team initiated a mini electrical safety project. Plant-wide survey completed, report finalized and reviewed, with an action plan developed. Execution is planned from Q1 to Q4 2026, budget allocated.",High,ESD,Adeel Siddiqui  ,Execution Q1–Q4,WIP,
569,21-Feb-26,Feb,Mubashir Mustafa,Fire Analysis,Fire Analysis Action Plan,Missing Manual Windout,"There are 11 ovens in total, with Line-1 to Line-5 not having a manual windout system. As a first backup and first safety, UPS systems are installed across all lines. HSE team evaluated Line-1 oven for a manual windout, engaging FEECOM team to design and install it. The system worked but did not generate the required torque, making it ineffective. The installation has now been returned to FEECOM for redesign and reinstallation.",High,ESD,Adeel Siddiqui  ,Q1 2027,WIP,
570,21-Feb-26,Feb,Mubashir Mustafa,Fire Analysis,Fire Analysis Action Plan,Gas Leak Fire,"HSE team conducts frequent SOAP test audits with ESD team to monitor gas leaks. In the recent audit, 23 leakage points were identified; 20 rectified, remaining points to be addressed through ongoing maintenance. Gas leak issues are monitored and rectified time to time to ensure safety.",High,ESD,Adeel Siddiqui  ,Bi-Monthly,WIP,
571,21-Feb-26,Feb,Mubashir Mustafa,Fire Analysis,Fire Analysis Action Plan,SOP Violation,"SOP compliance has been reinforced across all departments. Permit to Work (PTW) compliance is ensured, with PTWs obtained before every activity. Consequence management has been finalized, and violators are addressed according to the defined consequence management metrics.",High,ADM IR & HR,Shahid Bashir,03/01/2026,Done,
572,21-Feb-26,Feb,Mubashir Mustafa,Fire Analysis,Fire Analysis Action Plan,Safety Bypassed,"In Line-1 oven, manual ignition is required to create the fire triangle, which previously led to an explosion incident. Safety systems of Line-1 and Line-2 ovens are compromised, with weak integrity and high gas consumption. HSE conducted detailed inspection and proposed replacement of both ovens. Budget approved, replacement planned by end 2026 or early 2027.",High,ESD,Adeel Siddiqui  ,Replacement 2026–2027,Pending,
573,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Wet Floor,"A plant-wide survey will be conducted to identify all wet and slippery floor areas, especially in high-risk locations such as washing and chemical handling areas. Based on findings, anti-slip mats and anti-slip flooring solutions will be installed in coordination with the Project & Admin Department.",High,HSE,Naveed Taqvi,15-Apr-26,Done,
574,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Unfixed MS Sheet,A short inspection will be conducted to identify all unfixed or loose MS sheets on floors and walkways. All identified sheets will be properly secured using appropriate fasteners to prevent tripping hazards.,High,ADM IR & HR,Shahid Bashir,15-Apr-26,Done,
575,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Insecured Placement,"Housekeeping practices will be strengthened across the plant to ensure proper placement of tools, materials, and equipment in designated areas, keeping walkways clear and safe.",High,Area Owners,Area Managers,15-Apr-26,Done,
576,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Chemical Spillage,"Spill response procedures will be reinforced, with strategically placed spill kits and trained chemical handlers ensuring immediate cleanup to prevent slip hazards.",High,Area Owners,Area Managers,15-Apr-26,WIP,
577,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Tapes on Floor,Temporary floor tapes will be replaced with durable industrial floor markings to prevent peeling and tripping hazards.,High,HSE ,Naveed Taqvi,15-Apr-26,WIP,
578,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Inadequate Stairs & Steps,1346 steps of stairs inspected across all plant; ~300 identified as slippery. Staircase nosing pads demand raised; installation after receipt.,High,ADM IR & HR,Shahid Bashir,20-Apr-26,WIP,
579,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Hand Intervention in Moving Parts,"A formal Machine Safety Bypass Protocol will be developed. Any bypassing of machine safety systems will only be allowed through approved procedures, risk assessment, and authorization. Unauthorized bypassing will strictly be prohibited and shall be addressed in accordance with the Consequence Management SOP.",High,PRD,Hammad Ali Khan,02-May-26,WIP,
580,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Act in Hurry,Behavioral safety awareness are being reinforced through BBS program sessions and toolbox talks focusing on safe work pace and hazard awareness.,High,HSE,Naveed Taqvi,Regularly,Done,
581,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Finger on Moving Parts,Machine safety sessions will emphasize keeping hands clear of moving parts and proper use of guarding.,High,HSE,Naveed Taqvi,25/02/2026,Done,
582,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Instruction Not Followed,"Supervisory monitoring will be strengthened and employees will be reminded to strictly follow SOPs and safety instructions, with non-compliance addressed through the consequence management system.",High,Area Owners,Area Managers,03-May-26,Done,
583,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Unsafe Crossing,Unsafe crossing behaviors will be corrected through installation of crossovers and safety awareness sessions.,High,PRJ,Khurram Raza,10-Jul-26,Pending,
584,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Lack of SS Crossovers,"A detailed survey of the packing sections has been conducted to identify locations where crossovers are required. Based on this assessment, a budget of 9 million has been allocated in CAPEX 2026 for the procurement of stainless steel crossovers. The next steps involve engaging a third-party vendor to take precise on-site measurements, followed by fabrication of the crossovers. Once fabricated, the crossovers will be installed to ensure safe movement within the packing sections.",High,PRJ,Khurram Raza,25-Feb-26,Done,
585,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Lack of SS Made Benches,Workstations will be assessed to identify areas requiring stainless steel benches. Procurement and installation will follow the assessment for ergonomic and safe working conditions.,High,PRD,Hammad Ali Khan,20-Apr-26,Done,
586,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Wrong Placement,Materials and tools will be stored in designated locations to maintain clear walking paths.,High,Area Owners,Area Managers,20-Feb-26,Done,
587,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Crossing Under the Conveyor,Installation of crossovers will eliminate unsafe crossing. Any future violations post-installation will be treated as unsafe behavior and addressed via the consequence management system.,High,PRJ,Khurram Raza,After Installation,Pending,
588,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Crossing Under the Stacker,"Similar corrective actions as conveyor crossings will apply. Unsafe crossings will be prohibited after crossovers are installed, with violations handled through consequence management.",High,PRJ,Khurram Raza,After Installation,Pending,
589,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Gloves,"A plant-wide, department-wise, and activity-wise assessment of mandatory PPE requirements has been conducted and the final report need to be issued. Overall PPE compliance currently stands at 21%. All stakeholders are required to procure all mandatory PPEs and ensure full compliance across their respective areas.",High,Area Owners,Area Managers,Audit Done,WIP,
590,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Covered Shoes,Compliance with safety footwear will be enforced across departments.,High,Area Owners,Area Managers,Q2 2026,Pending,subject to budget approval
591,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Non-Slip Shoes,Non-slip shoes will be ensured for employees in wet or slippery areas.,High,Area Owners,Area Managers,Q2 2026,Pending,subject to budget approval
592,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Safety Goggles,"Mandatory use of safety goggles for dust, chemical, or particle exposure will be reinforced.",High,Area Owners,Area Managers,Q2 2026,Done,
593,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Machine Safety,"Included in HSE Mini Safety Projects. 437 machines surveyed; 1053 safeties identified (697 intact, 356 faulty). Report finalized with action plan. Execution started from Q1 2026 to Q-3 2026",High,ESD,Adeel Siddiqui  ,Q2 2026,WIP,
594,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Lack of Training,"Regular safety trainings are ongoing. One Point Lessons (OPLs) have been developed and shared for recordable incidents. About 1300 workers have been covered through on-site safety sessions so far, remaining workers will be covered on regular safety sessions on site.",High,HSE,Naveed Taqvi,15-May-26,WIP,
595,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Machine Guarding,"Part of HSE Mini Projects. 1329 guards identified (1001 intact, 328 missing, 160 proposed). Action plan finalized; execution from Q1 2026 to Q-3 2026",High,ESD,Adeel Siddiqui  ,Q2 2026,WIP,
596,15-Feb-26,Feb,Mubashir Mustafa,Injury Analysis,Injury Analysis Action Plan,Work at Height,"Part Of HSE Mini Projects. Plant-wide survey completed covering activities, access and platforms. Execution planned from Q1–Q4 2026.",High,PRJ,Khurram Raza,15-Aug-26,WIP,
